Bowler,Runs,ReleaseY,ReleaseZ,Bowler Type
PM Siddle,4,0.8270536,2.0676885,RFM
PM Siddle,0,0.8175547,2.0353433,RFM
CF Parkinson,0,-0.6868359,2.0241393,LOB
CF Parkinson,0,-0.931447,2.0618996,LOB
CF Parkinson,1,-0.8167987,2.0386271,LOB
CF Parkinson,0,0.9605834,2.0888329,LOB
CF Parkinson,1,0.9275204,2.0810491,LOB
PM Siddle,0,-0.7691664,2.0917573,RFM
CF Parkinson,4,0.988197,2.0840596,LOB
CF Parkinson,0,0.9996819,2.0820742,LOB
CF Parkinson,0,-0.6940354,2.0841623,LOB
PM Siddle,0,-0.6314506,2.0734731,RFM
PM Siddle,0,-0.7647288,2.117893,RFM
PM Siddle,0,-0.7896833,2.0899105,RFM
PM Siddle,0,-0.7384685,2.0353085,RFM
PM Siddle,0,-0.5441064,2.0228328,RFM
PM Siddle,0,-0.6947237,2.0325852,RFM
CF Parkinson,2,1.0042577,2.0842023,LOB
CF Parkinson,0,0.9995959,2.0780847,LOB
CF Parkinson,0,-0.6902491,2.0658294,LOB
BA Raine,1,0.942953,2.0584334,RM
BA Raine,0,-0.7556798,2.0691886,RM
BA Raine,0,-0.6975114,2.0869776,RM
BA Raine,0,-0.6778572,2.0822353,RM
BA Raine,0,-0.6805751,2.057081,RM
BA Raine,0,-0.5980894,1.7239183,RM
CF Parkinson,0,0.9178868,2.0913056,LOB
CF Parkinson,0,0.900667,2.0736731,LOB
CF Parkinson,2,1.0548005,2.0271753,LOB
CF Parkinson,2,0.9726805,2.0339999,LOB
CF Parkinson,0,0.9281489,2.0945882,LOB
BA Raine,0,1.0229673,2.1185467,RM
BA Raine,0,0.9898687,2.055095,RM
BA Raine,0,0.9853353,2.0858252,RM
BA Raine,0,0.994139,2.0757339,RM
BA Raine,0,0.9736582,2.0976235,RM
CF Parkinson,0,-0.9637768,2.0972711,LOB
CF Parkinson,0,-0.8511519,2.0648066,LOB
BA Raine,0,0.942731,2.0720826,RM
BA Raine,0,0.8720136,2.0624659,RM
BA Raine,0,0.9433883,2.0604893,RM
BA Raine,1,1.1142364,2.0767903,RM
BA Raine,0,-0.6468985,2.0305867,RM
BA Raine,0,-0.6704797,2.0736915,RM
CF Parkinson,1,0.9374228,2.0462958,LOB
CF Parkinson,0,0.8745489,2.0572703,LOB
MJ Potts,2,0.8245755,2.0677759,RM
